Maker,Type,Coil Center,Thickness ,Max lines,Suggest Min Trim loss (mm),Max MC weight (KG),Min MC Width (mm),Max MC Width (mm),Min Trim loss (mm)
CSC,All,HSC,1.8<T≤2.0,13,8,20000,100,1300,6
CSC,All,HSC,2.0<T≤2.3,12,8,20000,100,1300,6
CSC,All,HSC,2.3<T≤3.2,10,8,20000,100,1300,7
CSC,All,HSC,3.2<T≤3.9,9,12,20000,100,1300,8
CSC,All,HSC,3.9<T≤4.2,5,13,20000,100,1300,8
CSC,All,HSC,4.2<T≤6.0,5,13,20000,100,1300,10
CSVC,All,HSC,≤0.8,20,6,20000,100,1300,5
CSVC,All,HSC,0.8<T≤1.0,18,6,20000,100,1300,6
CSVC,All,HSC,1.0<T≤1.2,17,7,20000,100,1300,6
CSVC,All,HSC,1.2<T≤1.6,15,7,20000,100,1300,6
CSVC,All,HSC,1.6<T≤1.8,14,7,20000,100,1300,6
CSVC,All,HSC,1.8<T≤2.0,13,8,20000,100,1300,6
CSVC,All,HSC,2.0<T≤2.3,12,8,20000,100,1300,6
CSVC,All,HSC,2.3<T≤3.2,10,8,20000,100,1300,6
CSVC,All,HSC,3.2<T≤3.9,9,12,20000,100,1300,8
CSVC,All,HSC,3.9<T≤4.2,5,13,20000,100,1300,8
CSVC,All,HSC,4.2<T≤6.0,5,13,20000,100,1300,10
JFE,All,HSC,≤0.8,20,6,20000,100,1300,5
JFE,All,HSC,0.8<T≤1.0,18,6,20000,100,1300,6
JFE,All,HSC,1.0<T≤1.2,17,7,20000,100,1300,6
JFE,All,HSC,1.2<T≤1.6,15,7,20000,100,1300,6
JFE,All,HSC,1.6<T≤1.8,14,7,20000,100,1300,6
JFE,All,HSC,1.8<T≤2.0,13,8,20000,100,1300,6
JFE,All,HSC,2.0<T≤2.3,12,8,20000,100,1300,6
JFE,All,HSC,2.3<T≤3.2,10,8,20000,100,1300,7
JFE,All,HSC,3.2<T≤3.9,9,12,20000,100,1300,8
JFE,All,HSC,3.9<T≤4.2,5,13,20000,100,1300,8
JFE,All,HSC,4.2<T≤6.0,5,13,20000,100,1300,10
NSC,All,HSC,≤0.8,20,6,20000,100,1300,5
NSC,All,HSC,0.8<T≤1.0,18,6,20000,100,1300,6
NSC,All,HSC,1.0<T≤1.2,17,7,20000,100,1300,6
NSC,All,HSC,1.2<T≤1.6,15,7,20000,100,1300,6
NSC,All,HSC,1.6<T≤1.8,14,7,20000,100,1300,6
NSC,All,HSC,1.8<T≤2.0,13,8,20000,100,1300,6
NSC,All,HSC,2.0<T≤2.3,12,8,20000,100,1300,6
NSC,All,HSC,2.3<T≤3.2,10,8,20000,100,1300,7
NSC,All,HSC,3.2<T≤3.9,9,12,20000,100,1300,8
NSC,All,HSC,3.9<T≤4.2,5,13,20000,100,1300,8
NSC,All,HSC,4.2<T≤6.0,5,13,20000,100,1300,10
POSCO,All,HSC,≤0.8,20,6,20000,100,1300,5
POSCO,All,HSC,0.8<T≤1.0,18,6,20000,100,1300,6
POSCO,All,HSC,1.0<T≤1.2,17,7,20000,100,1300,6
POSCO,All,HSC,1.2<T≤1.6,15,7,20000,100,1300,6
POSCO,All,HSC,1.6<T≤1.8,14,7,20000,100,1300,6
POSCO,All,HSC,1.8<T≤2.0,13,8,20000,100,1300,6
POSCO,All,HSC,2.0<T≤2.3,12,8,20000,100,1300,6
POSCO,All,HSC,2.3<T≤3.2,10,8,20000,100,1300,6
POSCO,All,HSC,3.2<T≤3.9,9,12,20000,100,1300,8
POSCO,All,HSC,3.9<T≤4.2,5,13,20000,100,1300,8
POSCO,All,HSC,4.2<T≤6.0,5,10,20000,100,1300,10
POSCOVN,All,HSC,≤0.8,20,6,20000,100,1300,5
POSCOVN,All,HSC,0.8<T≤1.0,18,6,20000,100,1300,6
POSCOVN,All,HSC,1.0<T≤1.2,17,7,20000,100,1300,6
POSCOVN,All,HSC,1.2<T≤1.6,15,7,20000,100,1300,6
POSCOVN,All,HSC,1.6<T≤1.8,14,7,20000,100,1300,6
POSCOVN,All,HSC,1.8<T≤2.0,13,8,20000,100,1300,6
POSCOVN,All,HSC,2.0<T≤2.3,12,8,20000,100,1300,6
POSCOVN,All,HSC,2.3<T≤3.2,10,8,20000,100,1300,7
POSCOVN,All,HSC,3.2<T≤3.9,9,12,20000,100,1300,8
POSCOVN,All,HSC,3.9<T≤4.2,5,13,20000,100,1300,8
POSCOVN,All,HSC,4.2<T≤6.0,5,13,20000,100,1300,10
NSSC,All,HSC,≤0.8,20,6,20000,100,1300,5
NSSC,All,HSC,0.8<T≤1.0,18,6,20000,100,1300,6
NSSC,All,HSC,1.0<T≤1.2,17,7,20000,100,1300,6
NSSC,All,HSC,1.2<T≤1.6,15,7,20000,100,1300,6
NSSC,All,HSC,1.6<T≤1.8,14,7,20000,100,1300,6
